FSR006	Teléfonos Cuentas	FSR	Contactos corporativos	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L666
FSR008	Integración Cuentas	FSR	Titularidad múltiple	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L667
FSR014	Relaciones de Rubros	FSR	Vínculos automáticos entre cuentas	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L738
FSR025	Pizarra Tasas por Monto y Plazo	FSR	Matrices dinámicas	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1098
FSR026	Comisiones Genéricas	FSR	Tarifas estándar	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1052
FSR027	Pizarra Tasas por Cuenta	FSR	Matrices personalizadas	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1099
FSR111	Instrucciones	FSR	Automatizaciones	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1334
FST001	Sucursales	FST	Por Empresa	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L180
FST003	Módulos	FST	Sistema	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L186
FST004	Tipos de Operación	FST	Por Módulo	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L187
FST005	Monedas Maestras	FST	Configuración estática	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L972
FST013	Países	FST	Global	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L183
FST017	Parámetros Generales	FST	Sistema/Empresa	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L179
FST024	Tipos de Tasas	FST	Configuración base	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1093
FST028	Calendarios	FST	Multi-empresa/Regional	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L182
FST029	Clases de Tasas	FST	Categorías (mora, transferencia, LIBOR)	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1094
FST034	Cabezal de Transacción	FST	Configuración operativa global	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1148
FST035	Ordinales	FST	Definición de campos de captura	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1149
FST036	SubOrdinales	FST	Estructura de asientos contables	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1150
FST037	Textos de Ordinal	FST	Ayudas contextuales	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1153
FST040	Cálculos	FST	Lógica automática y validaciones	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1151
FST046	Códigos de Usuarios	FST	Empresa*, Usuario*	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L840
FST050	Tipos de Comisiones	FST	Catálogo maestro	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1051
FST068	Localidades	FST	Por País	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L185
FST069	Regiones	FST	Global	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L184
FST110	Sistemas	FST	Agrupación funcional	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L188
FST111	Módulos de Sistema	FST	Asociación	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L189
FST146	Usuarios Ejecutivos	FST	Usuario*, Cod.Ejecutivo*, Es propietario?	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L842
FST717	Árbol de Empresas	FST	Grupo Empresarial	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L181
FST746	Usuarios Activos	FST	Usuario*, Nombre, Empresa actual	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L841
FSX015	Textos de Cabezal	FSX	Descripciones del asiento completo	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1272
FSX016	Textos de Detalle	FSX	Descripciones por movimiento	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1273
FSX017	Textos de Transacción	FSX	Mensajes dinámicos	bantotal_sources/Analisis_Modelo_Datos_Bantotal.md:L1152
